employee_id,name,address,city,postal_code,latitude,longitude,snapped_latitude,snapped_longitude,optimal_employee_station,optimal_employee_station_id,optimal_employee_station_rank,optimal_office_station,optimal_office_station_id,optimal_office_station_rank,walk_home_to_station_min,transit_time_min,walk_station_to_office_min,total_commute_min,otp_route_found,car_distance_m,car_driving_time_min,car_parking_time_min,car_total_time_min,commute_time_bucket,transport_attractiveness,monthly_driving_cost,financial_attractiveness_Company Pays Full,financial_attractiveness_50% Subsidy,financial_attractiveness_Employee Pays Full,adoption_score_Company Pays Full,adoption_score_50% Subsidy,adoption_score_Employee Pays Full
EMP011,Piotr Biggen,"Säuberlichstraße 93/82, 22626 Ahrensburg",Ahrensburg,22626,53.552934,9.849891,53.552898,9.849976,Nienstedtener Marktplatz,335139767.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.92,49.0,3.7066666666666666,57.626666666666665,True,22958.2,39.18833333333334,8,47.18833333333334,45-60 min,50.0,187.7492,100,100,100,70.0,70.0,70.0
EMP012,Lilli Mosemann-Rädel,"Gerhardt-Schottin-Platz 2-7, 20355 Hamburg",Hamburg,20355,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP013,Paola Segebahn,"Röhrdanzallee 1, 22880 Wedel",Wedel,22880,53.51464,9.989696,53.514711,9.989895,Vogelhüttendeich,410242670.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,3.385,44.7,3.7066666666666666,51.791666666666664,True,31645.4,48.580000000000005,8,56.580000000000005,45-60 min,90.0,239.8724,100,100,100,94.0,94.0,94.0
EMP014,Winfried Ullmann,"Dowergring 3-8, 20095 Hamburg",Hamburg,20095,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP015,Cornelius Köster B.A.,"Ottoallee 581, 21682 Buxtehude",Buxtehude,21682,53.620093,10.033335,53.620019,10.033388,U S Ohlsdorf (Fuhlsbüttler Straße),354479872.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.8766666666666667,14.0,3.7066666666666666,18.583333333333332,True,8747.8,19.94,8,27.94,0-30 min,100.0,102.48679999999999,100,80,60,100.0,92.0,84.0
EMP016,Susann Jäntsch,"Dorina-Junitz-Straße 1, 22457 Hamburg",Hamburg,22457,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP017,Raimund Reichmann,"Bogdan-Hendriks-Weg 81, 20251 Hamburg",Hamburg,20251,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP018,Vito Reuter B.A.,"Fernando-Sorgatz-Straße 748, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP019,Dr. Anton Kambs B.Sc.,"Kuhlweg 87/28, 21614 Buxtehude",Buxtehude,21614,53.55512,9.929705,53.555345,9.929873,Hohenesch,5496304542.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.3283333333333334,32.8,3.7066666666666666,37.834999999999994,True,18783.5,32.538333333333334,8,40.538333333333334,30-45 min,90.0,162.701,100,100,80,94.0,94.0,86.0
EMP020,Torsten Beckmann,"Dajana-Hartmann-Gasse 40, 21073 Harburg",Harburg,21073,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,3.7066666666666666,67.32666666666667,True,38831.6,51.986666666666665,8,59.986666666666665,60+ min,60.0,282.9896,100,100,100,76.0,76.0,76.0
EMP021,Otfried Rudolph-Rust,"Boucseinstr. 9473, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP022,Ing. Hildegart Langern,"Henkallee 26-23, 22627 Ahrensburg",Ahrensburg,22627,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP023,Ria Dörr,"Vollbrechtgasse 70, 22880 Wedel",Wedel,22880,53.544142,9.976497,53.54422,9.976563,Rambachstraße,9460477322.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.9316666666666666,32.0,3.7066666666666666,36.63833333333333,True,18870.2,41.59,8,49.59,30-45 min,100.0,163.2212,100,100,100,100.0,100.0,100.0
EMP024,Elfie Bruder MBA.,"Hans-Joachim-Grein Groth-Weg 32-56, 22627 Ahrensburg",Ahrensburg,22627,53.366065,10.220389,53.366065,10.22039,Riepenburg,332611805.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,105.795,72.6,3.7066666666666666,182.10166666666663,True,58437.8,61.11333333333334,8,69.11333333333334,60+ min,0.0,400.6268,100,100,100,40.0,40.0,40.0
EMP025,Dr. Hansjürgen Neureuther MBA.,"Bernard-Siering-Weg 1, 21079 Harburg",Harburg,21079,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,3.7066666666666666,67.32666666666667,True,38831.6,51.986666666666665,8,59.986666666666665,60+ min,60.0,282.9896,100,100,100,76.0,76.0,76.0
EMP026,Ursula Ziegert,"Nina-Kühnert-Gasse 760, 22854 Norderstedt",Norderstedt,22854,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP027,Klaus Wähner,"Hörlestraße 52-43, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP028,Prof. Trudi Radisch B.A.,"Karen-Johann-Gasse 9, 21107 Harburg",Harburg,21107,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,3.7066666666666666,67.32666666666667,True,38831.6,51.986666666666665,8,59.986666666666665,60+ min,60.0,282.9896,100,100,100,76.0,76.0,76.0
EMP029,Dipl.-Ing. Bruno Roskoth B.A.,"Victoria-Pechel-Gasse 219, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP030,Heidelinde Eigenwillig,"Elly-Butte-Straße 64/43, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP031,Arndt Renner,"Mielcarekring 80, 21614 Buxtehude",Buxtehude,21614,53.488671,9.664988,53.488641,9.665123,,,,,,,,,,,False,50451.6,70.48833333333333,8,78.48833333333333,No route,,352.70959999999997,100,100,100,,,
EMP032,Dipl.-Ing. Serge Ring,"Amalie-Hettner-Platz 61/53, 22846 Norderstedt",Norderstedt,22846,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP033,Valentina Spieß,"Schmidtkeallee 8, 22856 Norderstedt",Norderstedt,22856,53.466807,9.984808,53.466792,9.984903,Kanalplatz,515627074.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.7183333333333334,52.7,3.7066666666666666,57.125,True,33677.3,48.01166666666666,8,56.01166666666666,45-60 min,70.0,252.0638,100,100,100,82.0,82.0,82.0
EMP034,Franz-Peter Holzapfel-Schleich,"Tatjana-Eimer-Ring 91, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP035,Thekla Birnbaum,"Iris-Karz-Platz 9/8, 22629 Ahrensburg",Ahrensburg,22629,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP036,Patricia Ehlert,"Evelyn-Löchel-Ring 0, 21077 Harburg",Harburg,21077,53.452194,9.897592,53.452166,9.898249,"Ehestorf, Hohlredder",478118123.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,6.72,56.9,3.7066666666666666,67.32666666666667,True,38831.6,51.986666666666665,8,59.986666666666665,60+ min,60.0,282.9896,100,100,100,76.0,76.0,76.0
EMP037,Arnfried Stumpf,"Fritschweg 98-16, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP038,Gretel Benthin,"Belinda-Beier-Ring 162, 21682 Buxtehude",Buxtehude,21682,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP039,Vincenzo Hellwig-Fröhlich,"Häringweg 7158, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP040,Catharina Zirme,"Ramona-Lehmann-Gasse 456, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP041,Dr. Aleksander Sorgatz B.A.,"Ralph-Bender-Straße 5375, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP042,Mariola Reising-Kabus,"Jüttnerring 64, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP043,Ing. Monika Zimmer,"Erhard-Heß-Platz 1/2, 22855 Norderstedt",Norderstedt,22855,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP044,Angela Trommler,"Mälzerstr. 46, 21035 Hamburg",Hamburg,21035,53.456041,9.971332,53.456041,9.971332,Eißendorfer Straße (TU Hamburg),5686864205.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,7.180000000000001,49.7,3.7066666666666666,60.586666666666666,True,38722.7,50.041666666666664,8,58.041666666666664,60+ min,60.0,282.33619999999996,100,100,100,76.0,76.0,76.0
EMP045,Mariana Ebert,"Ackermannstr. 6561, 22880 Wedel",Wedel,22880,53.561761,10.018583,53.561761,10.018583,Graumannsweg,10718408319.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.8683333333333332,35.0,3.7066666666666666,40.575,True,16220.5,34.138333333333335,8,42.138333333333335,30-45 min,90.0,147.323,100,100,80,94.0,94.0,86.0
EMP046,Kreszentia Eckbauer,"Patbergring 6-7, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP047,Klothilde Ackermann-Jähn,"Siegmar-Stadelmann-Straße 599, 20251 Hamburg",Hamburg,20251,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP048,Univ.Prof. Christa-Maria Sorgatz B.Sc.,"Häringstraße 87/47, 22880 Wedel",Wedel,22880,53.545322,9.9871,53.545346,9.986892,Auf dem Sande (Speicherstadt),1706051747.0,5.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.2733333333333325,30.0,3.7066666666666666,37.98,True,18466.1,39.82,8,47.82,30-45 min,100.0,160.79659999999998,100,100,80,100.0,100.0,92.0
EMP049,Claus-Dieter Barth B.Sc.,"Pieperweg 51/43, 22627 Ahrensburg",Ahrensburg,22627,53.58095,9.819853,53.580951,9.819853,Musäusstraße,6557816495.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,3.475,58.0,3.7066666666666666,65.18166666666667,True,22084.4,35.14,8,43.14,60+ min,30.0,182.5064,100,100,100,58.0,58.0,58.0
EMP050,Dipl.-Ing. Elena Finke B.Sc.,"Willibald-Schmidt-Gasse 46-79, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP051,Herr Herbert Eimer MBA.,"Leyla-Löffler-Platz 187, 22627 Ahrensburg",Ahrensburg,22627,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP052,Univ.Prof. Stephan Mülichen,"Wendestraße 9-8, 21079 Harburg",Harburg,21079,53.571359,9.983775,53.571325,9.983755,Parkallee,332243412.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,5.338333333333334,24.0,3.7066666666666666,33.045,True,14417.5,30.78,8,38.78,30-45 min,90.0,136.505,100,100,80,94.0,94.0,86.0
EMP053,Ina Buchholz,"Heserallee 4487, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP054,Erhard Kraus-Täsche,"Heinzring 25/38, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP055,Herma Bolander B.A.,"Ilonka-Hamann-Gasse 7-6, 20097 Hamburg",Hamburg,20097,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP056,Ivonne Albers-Kitzmann,"Krebsallee 9, 22880 Wedel",Wedel,22880,53.563793,9.902143,53.563892,9.902136,Bahrenfelder Marktplatz,538471368.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.0933333333333333,43.0,3.7066666666666666,47.8,True,17552.1,26.813333333333333,8,34.81333333333333,45-60 min,50.0,155.3126,100,100,80,70.0,70.0,62.0
EMP057,Dipl.-Ing. Emanuel Heydrich MBA.,"Wellerstraße 9-9, 22880 Wedel",Wedel,22880,53.263951,9.733569,53.263949,9.733565,,,,,,,,,,,False,64221.7,65.955,8,73.955,No route,,435.3302,100,100,100,,,
EMP058,Traugott Kreusel,"Baumstraße 86/32, 20253 Hamburg",Hamburg,20253,53.6246094,10.1006654,53.624609,10.100665,Am Stühm-Süd,6323310474.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,5.996666666666667,0.0,3.7066666666666666,9.703333333333331,True,13427.5,28.416666666666668,8,36.41666666666667,0-30 min,100.0,130.565,100,80,80,100.0,92.0,92.0
EMP059,Halina Junken,"Denis-Seifert-Straße 172, 22850 Norderstedt",Norderstedt,22850,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP060,Saskia Butte,"Uli-Junken-Ring 5-7, 22629 Ahrensburg",Ahrensburg,22629,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP061,Univ.Prof. Apostolos Zahn B.Sc.,"Bährweg 5, 22846 Norderstedt",Norderstedt,22846,53.810111,10.37286,53.810064,10.372694,,,,,,,,,,,False,31055.3,44.45,8,52.45,No route,,236.3318,100,100,100,,,
EMP062,Ernst-August Eberth-Mühle,"Ulla-Hentschel-Platz 9, 22850 Norderstedt",Norderstedt,22850,53.712313,9.995697,53.712428,9.99571,,,,,,,,,,,False,4914.3,10.296666666666663,8,18.296666666666663,No route,,79.4858,80,60,60,,,
EMP063,Reiner Fröhlich,"Carmela-Harloff-Straße 6/3, 21614 Buxtehude",Buxtehude,21614,53.490193,9.761105,53.490427,9.761102,"Rübke, Kurzer Weg",2886314002.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,0.0916666666666666,73.5,3.7066666666666666,77.29833333333333,True,40302.7,61.83166666666667,8,69.83166666666668,60+ min,70.0,291.8162,100,100,100,82.0,82.0,82.0
EMP064,Heidelore Trubin-Gumprich,"Dörrstr. 4, 22629 Ahrensburg",Ahrensburg,22629,53.572406,10.079473,53.572554,10.079794,Josephstraße,6126413728.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.2166666666666666,21.0,3.7066666666666666,25.923333333333332,True,15681.3,36.175,8,44.175,0-30 min,100.0,144.0878,100,100,80,100.0,100.0,92.0
EMP065,Hakan Reichmann,"Daria-Stumpf-Allee 2149, 22627 Ahrensburg",Ahrensburg,22627,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP066,Silvester Linke,"Speerring 68, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP067,Louise Renner,"Döringstraße 77/32, 22880 Wedel",Wedel,22880,53.624964,10.090663,53.624999,10.090758,Gumbinner Kehre,6323310479.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,2.6983333333333333,32.0,3.7066666666666666,38.404999999999994,True,13378.6,28.891666666666666,8,36.891666666666666,30-45 min,70.0,130.2716,100,80,80,82.0,74.0,74.0
EMP068,Fredo Mende,"Mohauptstraße 6/4, 22880 Wedel",Wedel,22880,53.572406,10.079473,53.572554,10.079794,Josephstraße,6126413728.0,1.0,"Harksheide, Libellengrund",12461266487.0,1.0,1.2166666666666666,21.0,3.7066666666666666,25.923333333333332,True,15681.3,36.175,8,44.175,0-30 min,100.0,144.0878,100,100,80,100.0,100.0,92.0
EMP069,Ing. Clarissa Neuschäfer B.A.,"Karolin-Mitschke-Weg 6-1, 22880 Wedel",Wedel,22880,53.576357,9.713091,53.576421,9.713089,"Wedel, Müllerkamp",68665485.0,4.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.569999999999999,72.0,3.7066666666666666,80.27666666666666,True,31773.1,44.836666666666666,8,52.836666666666666,60+ min,30.0,240.6386,100,100,100,58.0,58.0,58.0
EMP070,Jochem Grein Groth,"Heserring 5/9, 20253 Hamburg",Hamburg,20253,53.576158,10.007046,53.575573,10.006979,Zimmerstraße,335695109.0,3.0,"Harksheide, Libellengrund",12461266487.0,1.0,8.108333333333333,32.0,3.7066666666666666,43.815,True,14719.4,31.45,8,39.45,30-45 min,60.0,138.3164,100,100,80,76.0,76.0,68.0
EMP071,Reingard Bachmann B.Sc.,"Ilja-Tschentscher-Straße 88-83, 22626 Ahrensburg",Ahrensburg,22626,53.673068,10.235456,53.672891,10.235353,,,,,,,,,,,False,20627.8,35.32666666666667,8,43.32666666666667,No route,,173.7668,100,100,100,,,
EMP072,Hildegunde Weinhage,"Hartungstraße 8495, 22626 Ahrensburg",Ahrensburg,22626,53.570271,9.986559,53.570271,9.986559,Museum am Rothenbaum,335410001.0,2.0,"Harksheide, Libellengrund",12461266487.0,1.0,4.02,24.0,3.7066666666666666,31.726666666666667,True,14665.3,31.506666666666668,8,39.50666666666667,30-45 min,90.0,137.99179999999998,100,100,80,94.0,94.0,86.0
EMP073,Oswald Gröttner,"Kitzmannweg 54-44, 22049 Hamburg",Hamburg,22049,53.649311,9.804004,53.649339,9.804241,,,,,,,,,,,False,20128.8,31.201666666666664,8,39.20166666666667,No route,,170.7728,100,100,100,,,
